Cargo ID,Purchase Contract,Load Port,Max Load Volume (M3),Load Date,Discharge Name,Discharge Port,Discharge Date,Vessel Assignment,Sales Contract,Reposition Port,Reposition Date,Laden Canal,Ballast Canal,Buy %,Buy Index,Buy C,Buy Price,Sell %,Sell Index,Sell C,Sell Price,Expected Discharge Quantity,Load Region,Discharge Region,Load Deal Status,Discharge Deal Status,Laden Speed,Ballast Speed,Category,Load Notes,Discharge Notes
BPGE 2021-08-03,TAC Europe Purchase,"Cartagena LNG Terminal, Spain",,2022-03-14,BPGE 2021-08-03,"Cartagena LNG Terminal, Spain",2022-03-14,Ex Ship,Spot Index,Joetsu,2022-03-14,,,1.0,TAC Europe,0.0,26.896,1.0,TTF ICIS Heren Front Month Average (EUR),-0.061545,24.71,1600000.0,European Union,European Union,Notional,Confirmed,-0.0,-0.0,Shorts against TAC Europe,,"Initial Titan wiring: TAC BPGE 2021-08-03, Port:  Titan Contract: BPGE 2021-08 Titan Index: BPGE 2022 strip, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.0"
JERA (Chubu)-BPS SPA-42,TAC Pacific Purchase,Joetsu,,2022-03-14,JERA (Chubu)-BPS SPA-42,Joetsu,2022-03-14,Ex Ship,Chubu - NBP,Rotterdam,2022-03-14,,,1.0,TAC Pacific,0.0,30.396,1.0,NBP Front Month Average,2.5,31.533,3400000.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,-0.0,-0.0,Shorts against TAC Pacific,,
Glencore Orsted Novation-08,TAC Europe Purchase,Rotterdam,,2022-03-14,Glencore Orsted Novation-08,Rotterdam,2022-03-14,Ex Ship,Orsted DES 2020-2025 (TTF),Tokyo,2022-03-15,,,1.0,TAC Europe,0.0,26.896,0.0,TTF ICE FS (USD - Reuters 4pm FX),0.035,28.21,3500000.0,European Union,European Union,Notional,Confirmed,-0.0,-0.0,Shorts against TAC Europe,,"3.5Tbtu (3.4-3.6 +/-5% at Seller option).   Term: Oct 20 - Sep 25, 6 cargoes pa.   Cargoes in first contract year: 16-18 Oct 2020 / 15-17 Dec 2020 / Feb 21 / Apr 21 / Jun 21 / Aug 21; Cargoes in second contract year: Rateable starting Oct 21.   Ice TTF FS + 0.035 first three Contract Years (up to Sep 23);   10.60% DB6 for the first 3.23 Tbtu on cargoes from (including) October 23 - Sep 25 (Any quantity deliver above 3.23Tbtu will be at Ice TTF + 0.04).   Any GHV accepted."
Notional BW Helios Sept-22,Charter Out,"Freeport LNG Terminal, Texas, U.S.A.",,2022-03-14,,"Freeport LNG Terminal, Texas, U.S.A.",2025-09-13,BW Helios,Charter Out,"Freeport LNG Terminal, Texas, U.S.A.",2026-08-12,,,,,,,,,,,,North America,North America,,,0.0,0.0,,,
Petronas DES 2020-2024-14,Petronas DES 2020-2024,Tokyo,,2022-03-15,TAC Petronas DES 2020-2024-14,Tokyo,2022-03-15,Ex Ship,TAC Pacific Sale,Krk Island,2022-03-17,,,0.1203,"ICE Brent Frontline (3,1,1)",0.0,9.57,1.0,TAC Pacific,0.0,30.396,3400000.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Notional,-0.0,0.0,Longs against TAC Pacific,"JKTC discharge option.   Japan/Taiwan GHV 1040-1150, Korea/China GHV 1000-1140.   Narrowed by Petronas at ADP to specific value (+-5%) within the following ranges - Non US cargoes: 3.30 - 3.55Tbtu, US cargoes: 3.70 - 3.80Tbtu",
Notional Attalos Nov-20,Charter Out,"Freeport LNG Terminal, Texas, U.S.A.",,2022-03-15,,"Freeport LNG Terminal, Texas, U.S.A.",2025-11-10,Attalos,Charter Out,Tokyo,2025-12-04,,,,,,,,,,,,North America,North America,,,0.0,0.0,,,
Tangguh SPA-08,Tangguh SPA,Tangguh,176940.0,2022-03-15,JERA (TEPCO)-BPS SPA-64,Futtsu,2022-03-24,Sean Spirit,TEPCO 2 (Apr '19 +) Lean,Corpus Christi,2022-04-23,No,P,0.1233,"JCC (3,3,1)",0.0,9.92,1.0,TEPCO - Combined Rich & Lean,0.0,12.75,3295500.12905,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Confirmed,13.645833333333334,13.501436781609195,,"3,040,000-3,990,000 mmbtu",
Pavilion 2021-09,TAC Atlantic Purchase,Krk Island,,2022-03-17,Pavilion 2021-09,Krk Island,2022-03-17,Ex Ship,Spot Index,Tianjin Lingang,2022-03-20,,,1.0,TAC Atlantic,0.0,27.196,1.0,Pavilion 2021 Bullet FX,0.175,28.3713,3100000.0,European Union,European Union,Notional,Confirmed,-0.0,,Shorts against TAC Atlantic,,"Initial Titan wiring: TAC Pavilion 2021-09, Port:  Titan Contract: Pavilion 2021-09 Titan Index: TTF ICIS Heren Front Month Average Reuters 4pm EUR/USD, Titan Constant: USD/MMBtu 0.175, Titan Multiplier: 1.0"
Naturgy Atlantic FOB Dummy Mar-22,Fixed,Point Fortin,35932.0,2022-03-19,,,,,,,,,,,,,,,,,,,South America,,Unconfirmed,,,,Unconfirmed,,
OG T2 2016-34,Osaka Gas T2,TAC Pacific,,2022-03-19,TAC OG T2 2016-34,TAC Pacific,2022-03-19,LNG Mars,TAC Pacific Sale,,,,,1.0,"JLC (3,2,1)",-0.15,10.56,1.0,TAC Pacific,0.0,30.396,3600000.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Notional,-0.0,,Longs against TAC Pacific,,
CNOOC 2019-2039-46,TAC Pacific Purchase,Tianjin Lingang,,2022-03-20,CNOOC 2019-2039-46,Tianjin Lingang,2022-03-20,Ex Ship,CNOOC 2019-2039,Rotterdam,2022-03-23,,,1.0,TAC Pacific,0.0,30.396,0.0,CNOOC DES,0.0,11.71,3300000.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,-0.0,0.0,Shorts against TAC Pacific,,GHV 1010-1150
Freeport -134,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",170000.0,2022-03-20,Koch 2021-03,Tianjin Lingang,2022-04-19,Aristidis I,Spot Index,Ras Laffan (Rich),2022-05-08,P,No,1.0,Freeport Contract,0.0,5.371699999999999,1.0,JKM Monthly,-0.15,19.432,3400765.323178,North America,Japan / Korea / China / Taiwan,Confirmed,Confirmed,15.276315789473685,15.894607843137257,,,"Initial Titan wiring: Freeport -134 Titan Contract: Koch 2021-03 Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.15, Titan Multiplier: 1.0"
Qatargas 2022-2026-04,Qatargas 2022-2026,Ras Laffan (Rich),160444.0,2022-03-20,TAC Qatargas 2022-2026-04,Tokyo,2022-04-08,Bahrain Spirit,TAC Pacific Sale,Tokyo,2022-04-09,No,No,0.1005,"ICE Brent Frontline (3,1,1)",0.0,7.99,1.0,TAC Pacific,0.0,19.581999999999997,3641996.208849,India & Middle-East,Japan / Korea / China / Taiwan,Confirmed,Notional,15.219907407407407,,Longs against TAC Pacific,"Initial Titan wiring: TAC Qatargas 2022-2026-04, Port: TAC Pacific Titan Contract: Qatargas 2022-2026 Titan Index: ICE Brent Frontline (3,1,1), Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 0.1005",
EP Resources AG 2021-01,TAC Europe Purchase,Rotterdam,,2022-03-23,EP Resources AG 2021-01,Rotterdam,2022-03-23,Ex Ship,Spot Index,Rotterdam,2022-03-23,,,1.0,TAC Europe,0.0,26.896,1.0,TTF ICE FS (USD - Reuters 4pm FX),-0.2,27.98,3400000.0,European Union,European Union,Notional,Confirmed,-0.0,-0.0,Shorts against TAC Europe,,"Initial Titan wiring: TAC EP Resources AG 2021-01, Port: Rotterdam Titan Contract: EP Resources AG 2021 Titan Index: TTF ICE FMA (USD - Reuters 4pm FX) , Titan Constant: USD/MMBtu -0.2, Titan Multiplier: 1.0"
OMV 2021-02,TAC Europe Purchase,Rotterdam,,2022-03-23,OMV 2021-02,Rotterdam,2022-03-23,Ex Ship,Spot Index,Marmara Ereglisi,2022-03-26,,,1.0,TAC Europe,0.0,26.896,1.0,TTF FMA last 10 business days 1400 CET Rtrs,-0.38,27.8,3500000.0,European Union,European Union,Notional,Confirmed,-0.0,0.0,Shorts against TAC Europe,,"Initial Titan wiring: TAC OMV 2021-02, Port: Rotterdam Titan Contract: OMV 2021 Titan Index: TTF HEREN FMA Specific Days (USD - Reuters 4pm FX), Titan Constant: USD/MMBtu -0.38, Titan Multiplier: 1.0"
Freeport -135,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",151000.0,2022-03-23,TAC Freeport -135,TAC Europe,2022-04-07,British Sapphire,TAC Europe Sale,"Freeport LNG Terminal, Texas, U.S.A.",2022-05-04,No,No,1.0,Freeport Contract,0.0,5.371700000000001,1.0,TAC Europe,0.0,16.982,2992162.9325099997,North America,European Union,Confirmed,Notional,15.712962962962962,8.158653846153847,Longs against TAC Europe,,
Botas Strip 2021-17,TAC Europe Purchase,Marmara Ereglisi,,2022-03-26,Botas Strip 2021-17,Marmara Ereglisi,2022-03-26,Ex Ship,Spot Index,Bilbao - LNG Terminal,2022-03-27,,,1.0,TAC Atlantic,0.0,27.196,1.0,TTF ICE FMA (USD - ECB FX),0.415,28.59,3300000.0,North Africa and Europe,North Africa and Europe,Notional,Confirmed,-0.0,-0.0,Shorts against TAC Europe,,"Initial Titan wiring: TAC Botas Strip 2021-17, Port: Marmara Ereglisi Titan Contract: Botas Strip 2021 Titan Index: TTF ICE FMA (USD - ECB FX), Titan Constant: USD/MMBtu 0.415, Titan Multiplier: 1.0"
BPGE 2021-16 Strip-03,TAC Europe Purchase,Bilbao - LNG Terminal,,2022-03-27,BPGE 2021-16 Strip-03,Bilbao - LNG Terminal,2022-03-27,Ex Ship,Spot Index,Guangdong LNG Terminal,2022-03-28,,,1.0,TAC Europe,0.0,26.896,1.0,BPGE 2021-16 Strip,0.0,24.74,3300000.0,European Union,European Union,Notional,Confirmed,-0.0,,Shorts against TAC Europe,,"Initial Titan wiring: TAC BPGE 2021-16 Strip-03, Port: Bilbao - LNG Terminal Titan Contract: BPGE 2021-16 Strip Titan Index: BPGE 2021-16 Strip, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.0"
BPCHC 2021-2022-11,TAC Pacific Purchase,Guangdong LNG Terminal,,2022-03-28,BPCHC 2021-2022-11,Guangdong LNG Terminal,2022-03-28,Ex Ship,BPCHC 2021-2022,Livorno,2022-03-30,,,1.0,TAC Pacific,0.0,30.396,1.0,BPCHC 2021-2022,0.0,30.547,3400000.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,-0.0,0.0,Shorts against TAC Pacific,,
Fixed Flex Courageous Mar-22,Charter In,Withnell Bay,,2022-03-28,,Withnell Bay,2022-03-28,Flex Courageous,Charter In,Withnell Bay,2022-03-28,,,,,,,,,,,,South East Asia,South East Asia,,,-0.0,-0.0,,,
Notional Flex Courageous,Charter Out,Withnell Bay,,2022-03-28,,Withnell Bay,2025-01-15,Flex Courageous,Charter Out,"Freeport LNG Terminal, Texas, U.S.A.",2027-01-13,,,,,,,,,,,,South East Asia,South East Asia,,,0.0,0.0,,,
Freeport -268,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",165033.0,2022-03-30,TAC Freeport -268,TAC Europe,2022-04-14,Patris,TAC Europe Sale,"Freeport LNG Terminal, Texas, U.S.A.",2022-04-28,No,No,1.0,Freeport Contract,0.0,5.3717,1.0,TAC Europe,0.0,16.982,3357748.211296,North America,European Union,Confirmed,Notional,15.712962962962962,16.317307692307693,Longs against TAC Europe,,
BPGM OLT 2021-2023-03,TAC Atlantic Purchase,Livorno,,2022-03-30,BPGM OLT 2021-2023-03,Livorno,2022-03-30,Ex Ship,Spot Index,Dalian - LNG Terminal,2022-04-01,,,1.0,TAC Europe,0.0,26.896,1.0,PSV Final Settled,0.0,28.49,3300000.0,European Union,European Union,Notional,Confirmed,-0.0,,Shorts against TAC Atlantic,,
OMAN FOB SPA-69,Oman FOB,Qalhat LNG Terminal,169000.0,2022-03-30,TAC OMAN FOB SPA-69,TAC Pacific,2022-04-17,Aristos I,TAC Pacific Sale,Tangguh,2022-05-01,No,No,0.1151,"DB (3,1,1)-1",0.0,9.21,1.0,TAC Pacific,0.0,19.582,3923685.163333,India & Middle-East,Japan / Korea / China / Taiwan,Confirmed,Notional,14.600490196078432,9.637820512820513,Longs against TAC Pacific,,
Mitsui JP 2021-09,TAC Pacific Purchase,Dalian - LNG Terminal,,2022-04-01,Mitsui JP 2021-09,Dalian - LNG Terminal,2022-04-01,Ex Ship,Spot Index,Sakai LNG,2022-04-01,,,1.0,TAC Pacific,0.0,19.582,1.0,JKM Monthly,-0.05,19.532,3400000.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,-0.0,-0.0,Shorts against TAC Pacific,,"Initial Titan wiring: TAC Mitsui JP 2021-09, Port: Dalian - LNG Terminal Titan Contract: Mitsui JP 2021-09 Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.05, Titan Multiplier: 1.0"
Kansai-BPS SPA 2-49,TAC Pacific Purchase,Sakai LNG,,2022-04-01,Kansai-BPS SPA 2-49,Sakai LNG,2022-04-01,Ex Ship,Kansai II,Dahej,2022-04-01,,,1.0,TAC Pacific,0.0,19.582,1.2,HH Final Settled,6.53,11.35,3600000.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,-0.0,-0.0,Shorts against TAC Pacific,,
Exxon SPA-13,TAC Middle East Purchase,Dahej,,2022-04-01,Exxon SPA-13,Dahej,2022-04-01,Ex Ship,Exxon SPA,TAC Pacific,2022-04-02,,,1.0,TAC Middle East,0.0,19.162,0.1182,"DB (3,1,1)-1",0.0,9.3579,3300000.0,India & Middle-East,India & Middle-East,Notional,Confirmed,-0.0,,Shorts against TAC Middle East,,
Tangguh SPA-09,Tangguh SPA,Tangguh,176940.0,2022-04-01,TAC Tangguh SPA-09,TAC Pacific,2022-04-10,Charter Vessel (MEGI-PRS),TAC Pacific Sale,"Freeport LNG Terminal, Texas, U.S.A.",2022-04-13,No,No,0.1233,"JCC (3,3,1)",0.0,10.27,1.0,TAC Pacific,0.0,19.582,3448679.147924,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Notional,15.661458333333334,332.8125,Longs against TAC Pacific,"3,040,000-3,990,000 mmbtu",
Petronas DES 2020-2024-UQT-01,Petronas DES 2020-2024,TAC Pacific,,2022-04-02,TAC Petronas DES 2020-2024-UQT-01,TAC Pacific,2022-04-02,Ex Ship,TAC Pacific Sale,Guangdong LNG Terminal,2022-04-05,,,0.1203,"ICE Brent Frontline (3,1,1)",0.0,9.48,1.0,TAC Pacific,0.0,19.582,3300000.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Notional,-0.0,0.0,Longs against TAC Pacific,"Initial Titan wiring: TAC Petronas DES 2020-2024-UQT-01, Port: Tianjin Lingang  Titan Contract: Petronas DES 2020-2024  Titan Index: ICE Brent Frontline (3,1,1), Titan Constant: USD/MMBtu null, Titan Multiplier: 0.1203",
Freeport -136,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",170000.0,2022-04-04,JERA (TEPCO)-BPS SPA-69,Futtsu,2022-05-15,Kinisis,TEPCO 2 (Apr '19 +) Lean,"Freeport LNG Terminal, Texas, U.S.A.",2022-06-23,No,No,1.0,Freeport Contract,0.0,4.6218,1.0,TEPCO - Combined Rich & Lean,0.0,11.91,3544964.4941970003,North America,Japan / Korea / China / Taiwan,Confirmed,Confirmed,16.94409282700422,17.61293859649123,,,
GZG SPA 2022-2034-01,TAC Pacific Purchase,Guangdong LNG Terminal,,2022-04-05,GZG SPA 2022-2034-01,Guangdong LNG Terminal,2022-04-05,Ex Ship,GZG DES 2022-2034,Krk Island,2022-04-06,,,1.0,TAC Pacific,0.0,19.582,1.0,GZG DES 2022-2034,0.0,8.594,3590000.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,-0.0,,Shorts against TAC Pacific,,"Initial Titan wiring: TAC GZG SPA 2022-2034-01, Port:  Titan Contract: GZG SPA 2022-2034 Titan Index: GZG DES 2022-2034, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.0"
T4-266,T4 TRINIDAD,Point Fortin,151000.0,2022-04-05,TAC T4-266,TAC Atlantic,2022-04-15,Charter Vessel (TFDE-165),TAC Atlantic Sale,Qalhat LNG Terminal,2022-04-28,No,No,,[Multi Load],,10.840694999999998,1.0,TAC Atlantic,0.0,17.057,3288698.0543029997,South America,South America,Confirmed,Notional,15.037037037037038,32.3125,Longs against TAC Atlantic,,
OG T2 2016-35,Osaka Gas T2,Himeji,,2022-04-06,OG T3 2016-16,Himeji,2022-04-06,LNG Venus,Osaka Gas T3,,,,,1.0,"JLC (3,2,1)",-0.15,10.73,1.15,HH Final Settled,6.8,11.42,3600000.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Confirmed,-0.0,,,,
PPD Mid Term 2020-11,TAC Atlantic Purchase,Krk Island,,2022-04-06,PPD Mid Term 2020-11,Krk Island,2022-04-06,Ex Ship,PPD Mid Term 2020,Joetsu,2022-04-13,,,1.0,TAC Atlantic,0.0,17.057,0.0,TTF ICIS Heren Front Month Average (EUR),-0.13,14.85,3300000.0,European Union,European Union,Notional,Confirmed,-0.0,0.0,Shorts against TAC Atlantic,,
Qatargas 2022-2026-05,Qatargas 2022-2026,Ras Laffan (Rich),160444.0,2022-04-08,TAC Qatargas 2022-2026-05,Tokyo,2022-04-27,BW Magnolia,TAC Pacific Sale,"Freeport LNG Terminal, Texas, U.S.A.",2022-05-26,No,P,0.1005,"ICE Brent Frontline (3,1,1)",0.0,7.92,1.0,TAC Pacific,0.0,19.582,3577547.9716550005,India & Middle-East,Japan / Korea / China / Taiwan,Confirmed,Notional,15.219907407407407,13.90922619047619,Longs against TAC Pacific,"Initial Titan wiring: TAC Qatargas 2022-2026-05, Port: TAC Pacific Titan Contract: Qatargas 2022-2026 Titan Index: ICE Brent Frontline (3,1,1), Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 0.1005",
Fixed Bahrain Spirit Aug-21,Charter In,Tokyo,,2022-04-09,,Tokyo,2022-04-09,Bahrain Spirit,Charter In,,,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,,,-0.0,,,,
Uniper 2020-02-01,Spot Index,Joetsu,,2022-04-13,TAC Uniper 2020-02-01,Joetsu,2022-04-13,Ex Ship,TAC Pacific Sale,Tianjin Lingang,2022-04-13,,,0.0,Uniper 2022 JKTC TTF JKM tiered pricing ,0.0,17.52,1.0,TAC Pacific,0.0,19.582,3500000.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Notional,-0.0,-0.0,Longs against TAC Pacific,"Initial Titan wiring: TAC Uniper 2020-02-01, Port: Joetsu Titan Contract: Uniper 2020-02 Titan Index: Uniper 2022 JKTC TTF JKM tiered pricing , Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.0",
PNG FOB 2018-2023-31,PNG,Port Moresby,173000.0,2022-04-13,JERA (TEPCO)-BPS SPA-68,Futtsu,2022-04-22,British Achiever,TEPCO 2 (Apr '19 +) Rich,Sabine Pass LNG Terminal,2022-05-18,No,P,0.1155,"ICE Brent Frontline (1,1,1)",0.0,9.0291,1.0,TEPCO - Combined Rich & Lean,0.0,12.47,3706125.773151,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Confirmed,17.302083333333332,15.506666666666668,,,GHV min 1080
CNOOC 2019-2039-47,TAC Pacific Purchase,Tianjin Lingang,,2022-04-13,CNOOC 2019-2039-47,Tianjin Lingang,2022-04-13,Ex Ship,CNOOC 2019-2039,"Cartagena LNG Terminal, Spain",2022-04-14,,,1.0,TAC Pacific,0.0,19.582,0.0,CNOOC DES,0.0,11.42,3600000.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,-0.0,-0.0,Shorts against TAC Pacific,,
Freeport -137,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",170000.0,2022-04-13,TAC Freeport -137,TAC Atlantic,2022-04-29,Charter Vessel (MEGI-PRS),TAC Atlantic Sale,Qalhat LNG Terminal,2022-05-06,No,No,1.0,Freeport Contract,0.0,4.6218,1.0,TAC Atlantic,0.0,17.057,3712767.015891,North America,South America,Confirmed,Notional,15.482758620689657,80.78125,Longs against TAC Atlantic,,
Oman 2022-2025-03,Oman 2022-2025,Qalhat LNG Terminal,151500.0,2022-04-14,TAC Oman 2022-2025-03,TAC Pacific,2022-05-02,British Contributor,TAC Pacific Sale,Tangguh,2022-05-15,No,No,0.11,"DB (1,1,1)",0.0,8.63,1.0,TAC Pacific,0.0,15.957,3507856.6554610003,India & Middle-East,Japan / Korea / China / Taiwan,Confirmed,Notional,14.600490196078432,10.440972222222223,Longs against TAC Pacific,,
Engie 2021-03-02-04,TAC Europe Purchase,"Cartagena LNG Terminal, Spain",,2022-04-14,Engie 2021-03-02-04,"Cartagena LNG Terminal, Spain",2022-04-14,Ex Ship,Spot Index,"Cartagena LNG Terminal, Spain",2022-04-14,,,1.0,TAC Europe,0.0,16.982,0.0,TTF ICIS Heren Front Month Average (EUR),-0.087921,14.89,1600000.0,European Union,European Union,Notional,Confirmed,-0.0,-0.0,Shorts against TAC Europe,,"Initial Titan wiring: TAC Engie 2021-03-04, Port:  Titan Contract: Engie 2021-03 Titan Index: TTF ICIS Heren Front Month Average (EUR), Titan Constant: EUR/MMBtu -0.087921, Titan Multiplier: 1.0"
BPGE 2021-08-04,TAC Europe Purchase,"Cartagena LNG Terminal, Spain",,2022-04-14,BPGE 2021-08-04,"Cartagena LNG Terminal, Spain",2022-04-14,Ex Ship,Spot Index,Tianjin Lingang,2022-04-15,,,1.0,TAC Europe,0.0,16.982,1.0,TTF ICIS Heren Front Month Average (EUR),-0.061545,14.91,1600000.0,European Union,European Union,Notional,Confirmed,-0.0,-0.0,Shorts against TAC Europe,,"Initial Titan wiring: TAC BPGE 2021-08-04, Port:  Titan Contract: BPGE 2021-08 Titan Index: BPGE 2022 strip, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.0"
OG Strip purchase 2021-2022 -05,OG Strip Purchase 2021-2022,Tianjin Lingang,,2022-04-15,TAC OG Strip purchase 2021-2022 -05,Tianjin Lingang,2022-04-15,Ex Ship,TAC Pacific Sale,Livorno,2022-04-23,,,0.137,"JCC (1,3,1)",-0.9,10.5072,1.0,TAC Pacific,0.0,19.582,3400000.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Notional,-0.0,0.0,Longs against TAC Pacific,,
T4-267,T4 TRINIDAD,Point Fortin,142000.0,2022-04-16,ABS-92,AES Andres,2022-04-22,Tristar Ruby,DR,"Freeport LNG Terminal, Texas, U.S.A.",2022-05-09,No,No,,[Multi Load],,3.6479009999999996,1.0,HH Front Month Average (ABS),1.6,5.619,3086852.756679,South America,South America,Confirmed,Confirmed,5.791666666666667,4.5,Equity pointed to backfillable sales,,
Freeport -138,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",151500.0,2022-04-21,Kansai-BPS SPA 1-41,Sakai LNG,2022-05-18,British Listener,Kansai,"Freeport LNG Terminal, Texas, U.S.A.",2022-06-18,P,P,1.0,Freeport Contract,0.0,4.6218,1.1,HH Final Settled,7.0,11.35,3211918.2468080004,North America,Japan / Korea / China / Taiwan,Confirmed,Confirmed,15.691176470588234,13.591807909604519,,,
BPGM OLT 2021-2023-04,TAC Europe Purchase,Livorno,,2022-04-23,BPGM OLT 2021-2023-04,Livorno,2022-04-23,Ex Ship,Spot Index,Bilbao - LNG Terminal,2022-04-24,,,1.0,TAC Europe,0.0,16.982,1.0,PSV Final Settled,0.0,17.41,3300000.0,European Union,European Union,Notional,Confirmed,-0.0,-0.0,Shorts against TAC Europe,,
Cheniere FOB Strip 2022-23-01,Spot Index,Corpus Christi,173837.0,2022-04-23,TAC Cheniere FOB Strip 2022-23-01,TAC Europe,2022-05-07,Sean Spirit,TAC Europe Sale,"Freeport LNG Terminal, Texas, U.S.A.",2022-05-21,No,No,1.15,HH Final Settled,2.21,6.8319,1.0,TAC Europe,0.0,14.532,3767403.868615,North America,European Union,Confirmed,Notional,17.21,16.317307692307693,Longs against TAC Europe,"Initial Titan wiring: TAC Cheniere FOB Strip 2022-23-01, Port: TAC Europe Titan Contract: Cheniere FOB Strip 2022-23 Titan Index: HH Final Settled, Titan Constant: USD/MMBtu 2.21, Titan Multiplier: 1.15",
Gazprom Iberia Strip-18,Gazprom Iberia,Bilbao - LNG Terminal,,2022-04-24,TAC Gazprom Iberia Strip-18,Bilbao - LNG Terminal,2022-04-24,Ex Ship,TAC Europe Sale,Joetsu,2022-04-24,,,1.0,TTF ICIS Heren Front Month Average Reuters 4pm EUR/USD,0.2,17.25,1.0,TAC Europe,0.0,16.982,3400000.0,European Union,European Union,Confirmed,Notional,-0.0,-0.0,Longs against TAC Europe,,
JERA (Chubu)-BPS SPA-43,TAC Pacific Purchase,Joetsu,,2022-04-24,JERA (Chubu)-BPS SPA-43,Joetsu,2022-04-24,Ex Ship,Chubu - NBP,Bilbao - LNG Terminal,2022-04-25,,,1.0,TAC Pacific,0.0,19.582,1.0,NBP Front Month Average,2.5,20.246,3400000.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,-0.0,-0.0,Shorts against TAC Pacific,,
BPGE 2021-16 Strip-04,TAC Europe Purchase,Bilbao - LNG Terminal,,2022-04-25,BPGE 2021-16 Strip-04,Bilbao - LNG Terminal,2022-04-25,Ex Ship,Spot Index,Guangdong LNG Terminal,2022-04-29,,,1.0,TAC Europe,0.0,16.982,1.0,BPGE 2021-16 Strip,0.0,14.77,3300000.0,European Union,European Union,Notional,Confirmed,-0.0,0.0,Shorts against TAC Europe,,"Initial Titan wiring: TAC BPGE 2021-16 Strip-04, Port: Bilbao - LNG Terminal Titan Contract: BPGE 2021-16 Strip Titan Index: BPGE 2021-16 Strip, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.0"
Kmarin Emerald Dry Dock May-22,Dry Dock,Singapore,,2022-04-27,,Singapore,2022-07-05,Kmarin Emerald,Dry Dock,,,,,,,,,,,,,,South East Asia,South East Asia,,,0.0,,,,
Freeport -139,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",170000.0,2022-04-28,TAC Freeport -139,TAC Europe,2022-05-25,Patris,TAC Europe Sale,"Freeport LNG Terminal, Texas, U.S.A.",2022-06-06,No,No,1.0,Freeport Contract,0.0,4.6218,1.0,TAC Europe,0.0,14.532,3676876.977568,North America,European Union,Confirmed,Notional,8.318627450980392,19.28409090909091,Longs against TAC Europe,,
OMAN FOB SPA-70 Divertible,Oman FOB,Qalhat LNG Terminal,151500.0,2022-04-28,TAC OMAN FOB SPA-70 Divertible,TAC Middle East,2022-05-06,Charter Vessel (TFDE-165),TAC Middle East Sale,Cove Point - LNG,2022-05-04,No,No,0.1151,"DB (3,1,1)-1",0.0,9.11,1.0,TAC Middle East,0.0,15.537,3541821.8342699995,India & Middle-East,India & Middle-East,Confirmed,Notional,4.690476190476191,-160.90277777777777,Longs against TAC Middle East,,
BPCHC 2021-2022-12,TAC Pacific Purchase,Guangdong LNG Terminal,,2022-04-29,BPCHC 2021-2022-12,Guangdong LNG Terminal,2022-04-29,Ex Ship,BPCHC 2021-2022,Point Fortin,2022-04-30,,,1.0,TAC Pacific,0.0,19.582,1.0,BPCHC 2021-2022,0.0,19.732,3400000.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,-0.0,,Shorts against TAC Pacific,,
