Cargo ID,Purchase Contract,Load Port,Max Load Volume (M3),Load Date,Discharge Name,Discharge Port,Discharge Date,Vessel Assignment,Sales Contract,Reposition Port,Reposition Date,Laden Canal,Ballast Canal,Buy %,Buy Index,Buy C,Buy Price,Sell %,Sell Index,Sell C,Sell Price,Expected Discharge Quantity,Load Region,Discharge Region,Load Deal Status,Discharge Deal Status,Laden Speed,Ballast Speed,Category,Load Notes,Discharge Notes,Carriage Type
CPC 2020-Strip-07,TAC Pacific Purchase,Yung-an LNG Terminal,,30/10/2021,CPC 2020-Strip-07,Yung-an LNG Terminal,30/10/2021,Ex Ship,Spot Index,Map Ta Phut,01/11/2021,,,1,TAC Pacific,0,13.177,1,JKM Monthly,-0.122,13.055,3300000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,"Initial Titan wiring: TAC CPC 2020-Strip-07, Port:   Titan Contract: CPC 2020-Strip-07  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.122, Titan Multiplier: 1.0",DES Purchase
Petronas DES 2020-2024-11,Petronas DES 2020-2024,Tokyo,6710,30/10/2021,,,,,,,,,,,,,,,,,,,Japan / Korea / China / Taiwan,,Terminated,,,,Terminated,"JKTC discharge option.   Japan/Taiwan GHV 1040-1150, Korea/China GHV 1000-1140.   Narrowed by Petronas at ADP to specific value (+-5%) within the following ranges - Non US cargoes: 3.30 - 3.55Tbtu, US cargoes: 3.70 - 3.80Tbtu",,BP Delivered
T4-250,T4 TRINIDAD,Point Fortin,142000,31/10/2021,ABS-87,AES Andres,08/11/2021,Tristar Ruby,DR,Point Fortin,22/11/2021,No,No,,[Multi Load],,3.248972,1,HH Front Month Average (ABS),1.6,5.233,3087364.751,South America,South America,Confirmed,Confirmed,4.136650093,2.316524052,Equity pointed to backfillable sales,,,BP Delivered
Notional Bahrain Spirit Mar-21,Charter Out,Withnell Bay,,01/11/2021,,Withnell Bay,30/05/2022,Bahrain Spirit,Charter Out,Withnell Bay,30/05/2022,,,,,,,,,,,,South East Asia,South East Asia,,,0,0,,,,BP Delivered
PNG FOB 2018-2023-26,PNG,Port Moresby,173000,01/11/2021,CNOOC 2019-2039-42,Tianjin Lingang,15/11/2021,British Contributor,CNOOC 2019-2039,Port Moresby,04/12/2021,No,No,0.1155,"ICE Brent Frontline (1,1,1)",0,8.192,0,CNOOC DES,0,10.02,3984408.448,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Confirmed,12.92889929,9.887262715,,,ADP disport: Dalian LNG Terminal,BP Delivered
PTT International 2020-01,TAC Pacific Purchase,Map Ta Phut,,01/11/2021,PTT International 2020-01,Map Ta Phut,01/11/2021,Ex Ship,Spot Index,Tianjin Sinopec,01/11/2021,,,1,TAC Pacific,0,13.177,1,JKM Monthly,-0.082,13.095,3450000,South East Asia,South East Asia,Notional,Confirmed,0,0,Shorts against TAC Pacific,,"Initial Titan wiring: TAC PTT International 2020-01, Port:   Titan Contract: PTT International 2020-01  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.082, Titan Multiplier: 1.0",FOB Sale
Unipec 2021-11,TAC Pacific Purchase,Tianjin Sinopec,,01/11/2021,Unipec 2021-11,Tianjin Sinopec,01/11/2021,Ex Ship,Spot Index,Tianjin Sinopec,03/11/2021,,,1,TAC Pacific,0,13.177,1,JKM Monthly,-0.142,13.04,3300000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,,Shorts against TAC Pacific,,"Initial Titan wiring: TAC Unipec 2021-11, Port:   Titan Contract: Unipec 2021-08  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.142, Titan Multiplier: 1.0",DES Purchase
OG Strip purchase 2021-2022 -03,OG Strip Purchase 2021-2022,Joetsu,,01/11/2021,TAC OG Strip purchase 2021-2022 -03,Joetsu,01/11/2021,LNG Barka,TAC Pacific Sale,Joetsu,26/12/2021,,,0.137,"JCC (1,3,1)",-0.9,9.5052,1,TAC Pacific,0,13.177,3400000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Notional,0,0,Longs against TAC Pacific,,,BP Delivered
Unipec 2021-12,TAC Pacific Purchase,Tianjin Sinopec,,03/11/2021,Unipec 2021-12,Tianjin Sinopec,03/11/2021,Ex Ship,Spot Index,Bilbao - LNG Terminal,03/11/2021,,,1,TAC Pacific,0,13.177,1,JKM Monthly,-0.132,13.05,3300000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,"Initial Titan wiring: TAC Unipec 2021-12, Port:   Titan Contract: Unipec 2021-08  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.132, Titan Multiplier: 1.0",FOB Sale
Repsol 2019-01 Strip-12,TAC Europe Purchase,Bilbao - LNG Terminal,,03/11/2021,Repsol 2019-01 Strip-12,Bilbao - LNG Terminal,03/11/2021,Ex Ship,Repsol 2019,Bei Hai,05/11/2021,,,1,TAC Europe,0,11.327,0,TTF ICE FMA (USD - ECB FX),-0.25,11.02,3400000,European Union,European Union,Notional,Confirmed,0,0,Shorts against TAC Europe,,,DES Purchase
Freeport -112,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",170000,03/11/2021,TAC Freeport -112,TAC Pacific,09/12/2021,Patris,TAC Pacific Sale,Bontang,20/12/2021,P,No,1,Freeport Contract,0,4.178,1,TAC Pacific,0,13.619,3677027.757,North America,Japan / Korea / China / Taiwan,Confirmed,Notional,12.63581678,11.15833333,Longs against TAC Pacific,,,BP Delivered
BB Energy 2021-01,Spot Index,Bei Hai,,05/11/2021,Koch 2021-01,Bei Hai,05/11/2021,Ex Ship,Spot Index,Klaipeda,05/11/2021,,,,,,,1,JKM Monthly,0.07,13.25,3400000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Confirmed,0,0,,"Initial Titan wiring: Koch 2021-01  Titan Contract: BB Energy 2021-01  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu 0.05, Titan Multiplier: 1.0","Initial Titan wiring: TAC Koch 2021-01, Port:   Titan Contract: Koch 2021-01  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu 0.07, Titan Multiplier: 1.0",FOB Sale
UAB Lietuvos 2020-01,TAC Europe Purchase,Klaipeda,,05/11/2021,UAB Lietuvos 2020-01,Klaipeda,05/11/2021,Ex Ship,Spot Index,Tianjin Lingang,06/11/2021,,,1,TAC Europe,0,11.327,1,TTF ICE FMA (Euros),-0.2113,9.32,3200000,European Union,European Union,Notional,Confirmed,0,0,Shorts against TAC Europe,,"Initial Titan wiring: TAC UAB Lietuvos 2020-01, Port:  Titan Contract: UAB Lietuvos 2020-01 Titan Index: TTF ICE FMA (Euros), Titan Constant: EUR/MMBtu -0.7209, Titan Multiplier: 1.0",DES Purchase
CNOOC 2020-2021-15,TAC Pacific Purchase,Tianjin Lingang,,06/11/2021,CNOOC 2020-2021-15,Tianjin Lingang,06/11/2021,Ex Ship,CNOOC 2020-21,Tianjin Sinopec,10/11/2021,,,1,TAC Pacific,0,13.177,1,CNOOC 2020-21 (Option 2018) ICE Brent,0,8.8517,3300000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,,FOB Sale
Freeport -113,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",151000,08/11/2021,TAC Freeport -113,TAC Europe,23/11/2021,British Achiever,TAC Europe Sale,"Freeport LNG Terminal, Texas, U.S.A.",08/12/2021,No,No,1,Freeport Contract,0,4.178,1,TAC Europe,0,11.327,3297367.762,North America,European Union,Confirmed,Notional,15.71296296,15.15178571,Longs against TAC Europe,,,BP Delivered
Unipec 2021-13,TAC Pacific Purchase,Tianjin Sinopec,,10/11/2021,Unipec 2021-13,Tianjin Sinopec,10/11/2021,Ex Ship,Spot Index,Himeji,10/11/2021,,,1,TAC Pacific,0,13.177,1,JKM Monthly,-0.032,13.15,3300000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,"Initial Titan wiring: TAC Unipec 2021-13, Port:   Titan Contract: Unipec 2021-08  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.032, Titan Multiplier: 1.0",DES Purchase
Shell JKTC 2020-21-08,Spot Index,Himeji,,10/11/2021,TAC Shell JKTC 2020-21-08,Himeji,10/11/2021,Ex Ship,TAC Pacific Sale,Bei Hai,10/11/2021,,,1,Shell JKTC 2020-21,0,8.99,1,TAC Pacific,0,13.177,3400000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Notional,0,0,Longs against TAC Pacific,,,FOB Sale
Shizuoka 2020-04,Spot Index,Bei Hai,,10/11/2021,TAC Shizuoka 2020-04,Bei Hai,10/11/2021,Ex Ship,TAC Pacific Sale,Tianjin Sinopec,12/11/2021,,,0.14,"JCC (3,3,1)",0.825,11,1,TAC Pacific,0,13.177,3500000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Notional,0,0,Longs against TAC Pacific,"Initial Titan wiring: TAC Shizuoka 2020-04, Port: Bei Hai  Titan Contract: Shizuoka 2020-04  Titan Index: JCC (3,3,1), Titan Constant: USD/MMBtu 0.825, Titan Multiplier: 0.14",,DES Purchase
T4-251,T4 TRINIDAD,Point Fortin,151000,11/11/2021,BPGM OLT 2021-2023-02,Livorno,15/12/2021,Charter Vessel (TFDE-165),Spot Index,,,No,No,,[Multi Load],,5.317866,1,PSV Front Month Average,0,11.31,3224338.512,South America,European Union,Confirmed,Confirmed,5.457070707,,,,,BP Delivered
Unipec 2021-14,TAC Pacific Purchase,Tianjin Sinopec,,12/11/2021,Unipec 2021-14,Tianjin Sinopec,12/11/2021,Ex Ship,Spot Index,Yung-an LNG Terminal,12/11/2021,,,1,TAC Pacific,0,13.177,1,JKM Monthly,-0.022,13.16,3300000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,"Initial Titan wiring: TAC Unipec 2021-14, Port:   Titan Contract: Unipec 2021-08  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.022, Titan Multiplier: 1.0",FOB Sale
CPC 2017-2021-59,TAC Pacific Purchase,Yung-an LNG Terminal,,12/11/2021,CPC 2017-2021-59,Yung-an LNG Terminal,12/11/2021,Ex Ship,CPC 2017-2021,Guangdong LNG Terminal,15/11/2021,,,1,TAC Pacific,0,13.177,0.115,"DB (3,1,1)-1",0.195,8.49,3300000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,,DES Purchase
Freeport -257,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",170000,15/11/2021,TAC Freeport -257,TAC Pacific,19/12/2021,British Sponsor,TAC Pacific Sale,"Freeport LNG Terminal, Texas, U.S.A.",24/01/2022,P,No,1,Freeport Contract,0,4.178,1,TAC Pacific,0,13.619,3577120.062,North America,Japan / Korea / China / Taiwan,Confirmed,Notional,13.4134055,19.01785714,Longs against TAC Pacific,,,BP Delivered
BPCHC 2021-2022-08,TAC Pacific Purchase,Guangdong LNG Terminal,,15/11/2021,BPCHC 2021-2022-08,Guangdong LNG Terminal,15/11/2021,Ex Ship,BPCHC 2021-2022,Rotterdam,17/11/2021,,,1,TAC Pacific,0,13.177,1,BPCHC 2021-2022,0,13.327,3400000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,,FOB Sale
OMAN FOB SPA-61 GUCD,Oman FOB,Qalhat LNG Terminal,170000,17/11/2021,CNOOC 2019-2039-72,Tianjin Lingang,01/12/2021,BW Magnolia,CNOOC 2019-2039,Point Fortin,08/01/2022,No,No,0.1151,"DB (3,1,1)-1",0,8.3,0,CNOOC DES,0,10.11,3885154.093,India & Middle-East,Japan / Korea / China / Taiwan,Confirmed,Confirmed,19.13641404,16.01237963,,,,BP Delivered
Glencore Orsted Novation-06,TAC Europe Purchase,Rotterdam,,17/11/2021,Glencore Orsted Novation-06,Rotterdam,17/11/2021,Ex Ship,Orsted DES 2020-2025 (TTF),Rotterdam,19/11/2021,,,1,TAC Europe,0,11.327,0,TTF ICE FS (USD - Reuters 4pm FX),0.035,11.3,3500000,European Union,European Union,Notional,Confirmed,0,0,Shorts against TAC Europe,,"3.5Tbtu (3.4-3.6 +/-5% at Seller option).   Term: Oct 20 - Sep 25, 6 cargoes pa.   Cargoes in first contract year: 16-18 Oct 2020 / 15-17 Dec 2020 / Feb 21 / Apr 21 / Jun 21 / Aug 21; Cargoes in second contract year: Rateable starting Oct 21.   Ice TTF FS + 0.035 first three Contract Years (up to Sep 23);   10.60% DB6 for the first 3.23 Tbtu on cargoes from (including) October 23 - Sep 25 (Any quantity deliver above 3.23Tbtu will be at Ice TTF + 0.04).   Any GHV accepted.",DES Purchase
Woodside 2021-03,TAC Europe Purchase,Rotterdam,,19/11/2021,Woodside 2021-03,Rotterdam,19/11/2021,Ex Ship,Spot Index,Krk Island,20/11/2021,,,1,TAC Europe,0,11.327,1,Woodside 2021-03,0,11.11,3400000,European Union,European Union,Notional,Confirmed,0,0,Shorts against TAC Europe,,"Initial Titan wiring: TAC Woodside 2021-03, Port:   Titan Contract: Woodside 2021-03  Titan Index: NBP Front Month Average, Titan Constant: USD/MMBtu -0.54, Titan Multiplier: 1.0",FOB Sale
PPD Mid Term 2020-09,TAC Atlantic Purchase,Krk Island,,20/11/2021,PPD Mid Term 2020-09,Krk Island,20/11/2021,Ex Ship,PPD Mid Term 2020,Himeji,21/11/2021,,,1,TAC Atlantic,0,11.427,0,TTF ICIS Heren Front Month Average (EUR),-0.13,9.4,3235000,European Union,European Union,Notional,Confirmed,0,0,Shorts against TAC Atlantic,,,DES Purchase
PPT 2021-06,Spot Index,Corpus Christi,159362,20/11/2021,TAC PPT 2021-06,TAC Europe,05/12/2021,Kmarin Emerald,TAC Europe Sale,"Freeport LNG Terminal, Texas, U.S.A.",21/12/2021,No,No,1.15,HH Final Settled,4.435,8.613,1,TAC Europe,0,11.469,3300787.473,North America,European Union,Confirmed,Notional,15.93518519,14.14166667,Longs against TAC Europe,"Initial Titan wiring: TAC PPT 2021-06, Port: TAC Europe  Titan Contract: PPT 2021-06  Titan Index: HH Final Settled, Titan Constant: USD/MMBtu 4.435, Titan Multiplier: 1.15",,BP Delivered
Fixed Woodside Chaney Jul-21,Charter In,Zhoushan,,20/11/2021,,Zhoushan,20/11/2021,Woodside Chaney,Charter In,,,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,,,0,,,,,BP Delivered
Kansai-BPS SPA 2-44,TAC Pacific Purchase,Himeji,,21/11/2021,Kansai-BPS SPA 2-44,Himeji,21/11/2021,Ex Ship,Kansai II,Tianjin Sinopec,25/11/2021,,,1,TAC Pacific,0,13.177,1.2,HH Final Settled,6.53,10.89,3400000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,Firm - Divertible Cargo,FOB Sale
Freeport -114,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",170000,22/11/2021,CNOOC 2019-2039-43,Tianjin Lingang,02/01/2022,British Listener,CNOOC 2019-2039,"Freeport LNG Terminal, Texas, U.S.A.",10/02/2022,No,No,1,Freeport Contract,0,4.178,0,CNOOC DES,0,10.25,3580583.202,North America,Japan / Korea / China / Taiwan,Confirmed,Confirmed,16.86276417,17.98936865,,,,BP Delivered
T4-252,T4 TRINIDAD,Point Fortin,151000,22/11/2021,Exxon SPA-11,Cochin,28/12/2021,Tristar Ruby,Exxon SPA,Point Fortin,19/01/2022,S,S,,[Multi Load],,3.85185,0.1182,"DB (3,1,1)-1",0,8.43,3075333.232,South America,India & Middle-East,Confirmed,Confirmed,10.64334754,18.15943289,,,,BP Delivered
OMAN FOB SPA-62,Oman FOB,Qalhat LNG Terminal,170000,24/11/2021,TAC OMAN FOB SPA-62,TAC Middle East,30/11/2021,Charter Vessel (MEGI-PRS),TAC Middle East Sale,,,No,No,0.1151,"DB (3,1,1)-1",0,8.3,1,TAC Middle East,0,12.727,4004154.47,India & Middle-East,India & Middle-East,Confirmed,Notional,6.565956843,,Longs against TAC Middle East,,,BP Delivered
Total 2020-13,TAC Pacific Purchase,Tianjin Sinopec,,25/11/2021,Total 2020-13,Tianjin Sinopec,25/11/2021,Ex Ship,Spot Index,Yung-an LNG Terminal,29/11/2021,,,1,TAC Pacific,0,13.177,1,JKM Monthly,0.075,13.25,3300000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,"Initial Titan wiring: TAC Total 2020-13, Port:   Titan Contract: Total 2020-13  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu 0.075, Titan Multiplier: 1.0",DES Purchase
Freeport -115,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",151000,26/11/2021,TAC Freeport -115,TAC Atlantic,11/12/2021,Sean Spirit,TAC Atlantic Sale,"Freeport LNG Terminal, Texas, U.S.A.",28/12/2021,No,No,1,Freeport Contract,0,4.178,1,TAC Atlantic,0,11.569,3294257.799,North America,South America,Confirmed,Notional,16.62944444,16.03553571,Longs against TAC Atlantic,,,BP Delivered
OSAKA GAS ENERGY SG 2021-02,Spot Index,"Freeport LNG Terminal, Texas, U.S.A.",165959,29/11/2021,TAC OSAKA GAS ENERGY SG 2021-02,TAC Europe,15/12/2021,Charter Vessel (MEGI-PRS),TAC Europe Sale,,,No,No,1,JKM Monthly,-3.91,9.79,1,TAC Europe,0,11.469,3516484.29,North America,European Union,Confirmed,Notional,14.62931034,,Longs against TAC Europe,"Initial Titan wiring: TAC OSAKA GAS ENERGY SG 2021-02, Port: TAC Europe  Titan Contract: OSAKA GAS ENERGY SG 2021-02  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -3.91, Titan Multiplier: 1.0",,BP Delivered
CPC 2020-Strip-08,TAC Pacific Purchase,Yung-an LNG Terminal,,29/11/2021,CPC 2020-Strip-08,Yung-an LNG Terminal,29/11/2021,Ex Ship,Spot Index,Tianjin Sinopec,01/12/2021,,,1,TAC Pacific,0,13.619,1,JKM Monthly,-0.112,13.508,3300000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,"Initial Titan wiring: TAC CPC 2020-Strip-08, Port:   Titan Contract: CPC 2020-Strip-08  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.112, Titan Multiplier: 1.0",FOB Sale
Unipec 2021-15,TAC Pacific Purchase,Tianjin Sinopec,,01/12/2021,Unipec 2021-15,Tianjin Sinopec,01/12/2021,Ex Ship,Spot Index,Tianjin Lingang,01/12/2021,,,1,TAC Pacific,0,13.619,1,JKM Monthly,-0.153,13.47,3300000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,"Initial Titan wiring: TAC Unipec 2021-15, Port:   Titan Contract: Unipec 2021-08  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.153, Titan Multiplier: 1.0",DES Purchase
Pavilion 2021-02,TAC Pacific Purchase,Tianjin Lingang,,01/12/2021,Pavilion 2021-02,Tianjin Lingang,01/12/2021,Ex Ship,Fixed,Map Ta Phut,01/12/2021,,,1,TAC Pacific,0,13.619,,ZERO INDEX,7.552,7.552,3450000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,"Initial Titan wiring: TAC Pavilion 2021-02, Port:   Titan Contract: Pavilion 2021-02  Fixed: USD/MMBtu 7.552",FOB Sale
PTT International 2020-02,TAC Pacific Purchase,Map Ta Phut,,01/12/2021,PTT International 2020-02,Map Ta Phut,01/12/2021,Ex Ship,Spot Index,Tianjin Sinopec,03/12/2021,,,1,TAC Pacific,0,13.619,1,JKM Monthly,-0.072,13.548,3450000,South East Asia,South East Asia,Notional,Confirmed,0,0,Shorts against TAC Pacific,,"Initial Titan wiring: TAC PTT International 2020-02, Port:   Titan Contract: PTT International 2020-02  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.072, Titan Multiplier: 1.0",DES Purchase
NWS Equity -40,NWS Equity 1H,Withnell Bay,160000,02/12/2021,TAC NWS Equity -40,TAC Pacific,15/12/2021,Charter Vessel (TFDE-165),TAC Pacific Sale,,,No,No,0,NWS equity (1 July 2016 -),0,12.25,1,TAC Pacific,0,13.619,3705332.471,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Notional,14.05797101,,Longs against TAC Pacific,,,BP Delivered
Freeport -116,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",170000,03/12/2021,TAC Freeport -116,TAC Europe,18/12/2021,Aristidis I,TAC Europe Sale,"Freeport LNG Terminal, Texas, U.S.A.",01/01/2022,No,No,1,Freeport Contract,0,4.2895,1,TAC Europe,0,11.469,3718517.83,North America,European Union,Confirmed,Notional,15.71296296,16.31730769,Longs against TAC Europe,,,BP Delivered
Unipec 2021-16,TAC Pacific Purchase,Tianjin Sinopec,,03/12/2021,Unipec 2021-16,Tianjin Sinopec,03/12/2021,Ex Ship,Spot Index,Bilbao - LNG Terminal,03/12/2021,,,1,TAC Pacific,0,13.619,1,JKM Monthly,-0.143,13.48,3300000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,"Initial Titan wiring: TAC Unipec 2021-16, Port:   Titan Contract: Unipec 2021-08  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.143, Titan Multiplier: 1.0",FOB Sale
Gazprom Iberia Strip-16,Gazprom Iberia,Bilbao - LNG Terminal,,03/12/2021,TAC Gazprom Iberia Strip-16,Bilbao - LNG Terminal,03/12/2021,Ex Ship,TAC Europe Sale,Guangdong LNG Terminal,04/12/2021,,,1,TTF ICIS Heren Front Month Average Reuters 4pm EUR/USD,0.2,11.51,1,TAC Europe,0,11.469,3400000,European Union,European Union,Confirmed,Notional,0,,Longs against TAC Europe,,,DES Purchase
T4-253,T4 TRINIDAD,Point Fortin,142000,03/12/2021,ABS-88,AES Andres,08/12/2021,Kinisis,DR,"Freeport LNG Terminal, Texas, U.S.A.",14/12/2021,No,No,,[Multi Load],,3.371161,1,HH Front Month Average (ABS),1.6,5.33,3151027.61,South America,South America,Confirmed,Confirmed,7.239137663,15.50180272,Equity pointed to backfillable sales,,,BP Delivered
PNG FOB 2018-2023-27,PNG,Port Moresby,173000,04/12/2021,TAC PNG FOB 2018-2023-27,TAC Pacific,22/12/2021,British Contributor,TAC Pacific Sale,Port Moresby,01/01/2022,No,No,0.1155,"ICE Brent Frontline (1,1,1)",0,8.1118,1,TAC Pacific,0,13.619,3981195.43,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Notional,9.887254902,18.67592593,Longs against TAC Pacific,,,BP Delivered
BPCHC 2021-2022-09,TAC Pacific Purchase,Guangdong LNG Terminal,,04/12/2021,BPCHC 2021-2022-09,Guangdong LNG Terminal,04/12/2021,Ex Ship,BPCHC 2021-2022,Himeji,08/12/2021,,,1,TAC Pacific,0,13.619,1,BPCHC 2021-2022,0,13.77,3400000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,,FOB Sale
Pavilion Energy Spain SAU-09 TERMINATED,Iberdrola,Bilbao - LNG Terminal,0,05/12/2021,,,,,,,,,,,,,,,,,,,European Union,,Terminated,,,,Terminated,,,BP Delivered
PPT 2021-07,Spot Index,Corpus Christi,159362,06/12/2021,TAC PPT 2021-07,TAC Europe,20/12/2021,Charter Vessel (TFDE-165),TAC Europe Sale,,,No,No,1.15,HH Final Settled,4.435,8.724,1,TAC Europe,0,11.469,3271307.523,North America,European Union,Confirmed,Notional,17.21,,Longs against TAC Europe,"Initial Titan wiring: TAC PPT 2021-07, Port: TAC Europe  Titan Contract: PPT 2021-07  Titan Index: HH Final Settled, Titan Constant: USD/MMBtu 4.435, Titan Multiplier: 1.15",,BP Delivered
Freeport -117,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",170000,08/12/2021,JERA (TEPCO)-BPS SPA-62,Futtsu,12/01/2022,British Achiever,TEPCO 2 (Apr '19 +) Lean,Withnell Bay,23/01/2022,P,No,1,Freeport Contract,0,4.2895,1,TEPCO - Combined Rich & Lean,0,11.17,3662803.14,North America,Japan / Korea / China / Taiwan,Confirmed,Confirmed,11.59203162,15.56767175,,,,BP Delivered
Kansai-BPS SPA 2-45 BMC,TAC Pacific Purchase,Himeji,,08/12/2021,Kansai-BPS SPA 2-45 BMC,Himeji,08/12/2021,Ex Ship,Kansai II Alternating Marketing,Tianjin Sinopec,10/12/2021,,,1,TAC Pacific,0,13.619,0,Kansai SPAII: Alternating Marketing Cargo (50%HHP + 50% TAC Pacific),0,12.31,3300000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,Buyer Marketing Cargo,DES Purchase
OG T2 2016-32,Osaka Gas T2,Joetsu,,09/12/2021,OG T3 2016-15,Joetsu,09/12/2021,LNG Saturn,Osaka Gas T3,,,,,1,"JLC (3,2,1)",-0.15,9.64,1.15,HH Final Settled,6.8,11.09,3600000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Confirmed,0,,,,,BP Delivered
Unipec 2021-17,TAC Pacific Purchase,Tianjin Sinopec,,10/12/2021,Unipec 2021-17,Tianjin Sinopec,10/12/2021,Ex Ship,Spot Index,Tianjin Sinopec,12/12/2021,,,1,TAC Pacific,0,13.619,1,JKM Monthly,-0.033,13.59,3300000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,,Shorts against TAC Pacific,,"Initial Titan wiring: TAC Unipec 2021-17, Port:   Titan Contract: Unipec 2021-08  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.033, Titan Multiplier: 1.0",FOB Sale
Unipec 2021-18,TAC Pacific Purchase,Tianjin Sinopec,,12/12/2021,Unipec 2021-18,Tianjin Sinopec,12/12/2021,Ex Ship,Spot Index,Tianjin Lingang,13/12/2021,,,1,TAC Pacific,0,13.619,1,JKM Monthly,-0.023,13.6,3300000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,0,Shorts against TAC Pacific,,"Initial Titan wiring: TAC Unipec 2021-18, Port:   Titan Contract: Unipec 2021-08  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.023, Titan Multiplier: 1.0",DES Purchase
CNOOC 2020-2021-16,TAC Pacific Purchase,Tianjin Lingang,,13/12/2021,CNOOC 2020-2021-16,Tianjin Lingang,13/12/2021,Ex Ship,CNOOC 2020-21,Rotterdam,15/12/2021,,,1,TAC Pacific,0,13.619,1,CNOOC 2020-21 (Option 2018) ICE Brent,0,8.765,3300000,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Notional,Confirmed,0,,Shorts against TAC Pacific,,,FOB Sale
T4-254,T4 TRINIDAD,Point Fortin,151000,14/12/2021,TAC T4-254,TAC Atlantic,24/12/2021,Charter Vessel (TFDE-165),TAC Atlantic Sale,,,No,No,,[Multi Load],,6.919864,1,TAC Europe,0,11.469,3262064.858,South America,South America,Confirmed,Notional,15.03759259,,Longs against TAC Atlantic,,,BP Delivered
